Date,Location,Rank,Score,Corps
8/4/13,"Allentown, PA",2nd,95.1,Carolina Crown
8/4/13,"Allentown, PA",3rd,94.4,The Cadets
8/4/13,"Allentown, PA",4th,93.15,Santa Clara Vanguard
8/4/13,"Allentown, PA",5th,91.55,Phantom Regiment
8/4/13,"Allentown, PA",6th,90.85,Bluecoats
8/4/13,"Allentown, PA",7th,89.1,The Cavaliers
8/4/13,"Pittsburgh, PA",1st,88.9,Boston Crusaders
8/4/13,"Pittsburgh, PA",2nd,86.25,Blue Knights
8/4/13,"Pittsburgh, PA",3rd,85.1,Blue Stars
8/4/13,"Pittsburgh, PA",4th,84.25,Spirit of Atlanta
8/4/13,"Pittsburgh, PA",5th,83.1,Crossmen
8/4/13,"Pittsburgh, PA",6th,82,Troopers
8/4/13,"Pittsburgh, PA",7th,69.05,Seattle Cascades
8/5/13,"Buffalo, NY",1st,95.85,Blue Devils
8/5/13,"Buffalo, NY",1st,95.85,Carolina Crown
8/5/13,"Buffalo, NY",3rd,94.5,The Cadets
8/5/13,"Buffalo, NY",4th,94.45,Santa Clara Vanguard
8/5/13,"Buffalo, NY",5th,91.5,Bluecoats
8/5/13,"Buffalo, NY",6th,91.35,Phantom Regiment
8/5/13,"Buffalo, NY",7th,89.5,The Cavaliers
8/5/13,"Centerville, OH",1st,89,Boston Crusaders
8/5/13,"Centerville, OH",2nd,88.6,Madison Scouts
8/5/13,"Centerville, OH",3rd,86.4,Blue Knights
8/5/13,"Centerville, OH",4th,81.35,Colts
8/5/13,"Centerville, OH",5th,80.9,Pacific Crest
8/5/13,"Centerville, OH",6th,78.4,Mandarins
8/5/13,"Centerville, OH",7th,78.2,The Academy
8/5/13,"Centerville, OH",8th,75.4,Jersey Surf
8/5/13,"Michigan City, IN",3rd,91.2,Genesis
8/5/13,"Michigan City, IN",4th,89.65,Music City
8/6/13,"Massillon, OH",1st,96.45,Carolina Crown
8/6/13,"Massillon, OH",2nd,96,The Cadets
8/6/13,"Massillon, OH",3rd,93.1,Bluecoats
8/6/13,"Massillon, OH",4th,85.5,Spirit of Atlanta
8/6/13,"Massillon, OH",5th,81.3,Pacific Crest
8/6/13,"Massillon, OH",6th,80.55,The Academy
8/6/13,"Massillon, OH",8th,72.3,Seattle Cascades
8/6/13,"Michigan City, IN",3rd,91.55,Genesis
8/6/13,"Michigan City, IN",5th,90.35,Music City
8/8/13,"Indianpolis, IN",,97.2,Blue Devils
8/8/13,"Indianpolis, IN",,97.05,Carolina Crown
8/8/13,"Indianpolis, IN",,96.1,The Cadets
8/8/13,"Indianpolis, IN",,95.5,Santa Clara Vanguard
8/8/13,"Indianpolis, IN",,92.9,Bluecoats
8/8/13,"Indianpolis, IN",,92.35,Phantom Regiment
8/8/13,"Indianpolis, IN",,89.9,Madison Scouts
8/8/13,"Indianpolis, IN",,89.9,The Cavaliers
8/8/13,"Indianpolis, IN",,88.05,Blue Knights
8/8/13,"Indianpolis, IN",,87.95,Boston Crusaders
8/8/13,"Indianpolis, IN",,86.75,Spirit of Atlanta
8/8/13,"Indianpolis, IN",,85.5,Blue Stars
8/8/13,"Indianpolis, IN",,83.75,Crossmen
8/8/13,"Indianpolis, IN",,83.6,Troopers
8/8/13,"Indianpolis, IN",,81.45,Pacific Crest
8/8/13,"Indianpolis, IN",,81.4,Colts
8/8/13,"Indianpolis, IN",,79.25,Mandarins
8/8/13,"Indianpolis, IN",,77.5,The Academy
8/8/13,"Indianpolis, IN",,74.55,Jersey Surf
8/8/13,"Indianpolis, IN",,73.75,Genesis
8/8/13,"Indianpolis, IN",,71.55,Music City
8/8/13,"Indianpolis, IN",,69.85,Seattle Cascades
8/9/13,"Indianpolis, IN",1st,98.25,Carolina Crown
8/9/13,"Indianpolis, IN",2nd,97.6,Blue Devils
8/9/13,"Indianpolis, IN",3rd,96.85,The Cadets
8/9/13,"Indianpolis, IN",4th,96.5,Santa Clara Vanguard
8/9/13,"Indianpolis, IN",5th,93.05,Bluecoats
8/9/13,"Indianpolis, IN",5th,93.05,Phantom Regiment
8/9/13,"Indianpolis, IN",7th,91.25,The Cavaliers
8/9/13,"Indianpolis, IN",8th,90.5,Madison Scouts
8/9/13,"Indianpolis, IN",9th,90,Boston Crusaders
8/9/13,"Indianpolis, IN",10th,89.35,Blue Knights
8/9/13,"Indianpolis, IN",11th,86.4,Spirit of Atlanta
8/9/13,"Indianpolis, IN",12th,86.2,Blue Stars
8/9/13,"Indianpolis, IN",13th,86.05,Troopers
8/9/13,"Indianpolis, IN",14th,84.85,Crossmen
8/9/13,"Indianpolis, IN",15th,82.45,Colts
8/9/13,"Indianpolis, IN",16th,82.3,Pacific Crest
8/9/13,"Indianpolis, IN",18th,79.75,Mandarins
8/9/13,"Indianpolis, IN",19th,78.2,The Academy
8/9/13,"Indianpolis, IN",22nd,75.4,Jersey Surf
8/9/13,"Indianpolis, IN",23rd,74.65,Genesis
8/9/13,"Indianpolis, IN",25th,72.75,Music City
8/10/13,"Indianpolis, IN",1st,98.3,Carolina Crown
8/10/13,"Indianpolis, IN",2nd,98.05,Blue Devils
8/10/13,"Indianpolis, IN",3rd,96.95,The Cadets
8/10/13,"Indianpolis, IN",4th,96.85,Santa Clara Vanguard
8/10/13,"Indianpolis, IN",5th,93.35,Bluecoats
8/10/13,"Indianpolis, IN",6th,93.25,Phantom Regiment
8/10/13,"Indianpolis, IN",7th,90.5,The Cavaliers
8/10/13,"Indianpolis, IN",8th,90.4,Boston Crusaders
8/10/13,"Indianpolis, IN",9th,90.1,Madison Scouts
8/10/13,"Indianpolis, IN",10th,87.75,Blue Knights
8/10/13,"Indianpolis, IN",11th,86.4,Spirit of Atlanta
8/10/13,"Indianpolis, IN",12th,85.45,Blue Stars
6/18/14,"Indianpolis, IN",1st,72.1,The Cadets
6/18/14,"Indianpolis, IN",2nd,70.8,Carolina Crown
6/18/14,"Indianpolis, IN",3rd,68.3,Phantom Regiment
6/18/14,"Indianpolis, IN",4th,67.3,The Cavaliers
6/18/14,"Indianpolis, IN",5th,61.7,Troopers
6/20/14,"Clovis, CA",1st,73.2,Blue Devils
6/20/14,"Clovis, CA",2nd,70.15,Santa Clara Vanguard
6/20/14,"Clovis, CA",3rd,65.15,Blue Knights
6/20/14,"Clovis, CA",4th,62.2,Crossmen
6/20/14,"Clovis, CA",5th,59.45,Pacific Crest
6/20/14,"Clovis, CA",6th,57.9,Mandarins
6/20/14,"Rockford, IL",1st,73.3,Carolina Crown
6/20/14,"Rockford, IL",2nd,70.4,Phantom Regiment
6/20/14,"Rockford, IL",3rd,69.7,The Cavaliers
6/20/14,"Rockford, IL",4th,66.2,Madison Scouts
6/20/14,"Rockford, IL",5th,63.8,Blue Stars
6/20/14,"Rockford, IL",6th,61.1,Troopers
6/20/14,"Rockford, IL",7th,60.3,Spirit of Atlanta
6/21/14,"Akron, OH",1st,76.05,The Cadets
6/21/14,"Akron, OH",2nd,74.95,Carolina Crown
6/21/14,"Akron, OH",3rd,72.8,Bluecoats
6/21/14,"Akron, OH",4th,72.05,Phantom Regiment
6/21/14,"Akron, OH",5th,70.8,The Cavaliers
6/21/14,"Akron, OH",6th,67.35,Madison Scouts
6/21/14,"Akron, OH",7th,66.4,Boston Crusaders
6/21/14,"Plainwell, MI",1st,62.1,Troopers
6/21/14,"Plainwell, MI",2nd,60.6,Spirit of Atlanta
6/21/14,"Plainwell, MI",3rd,60.4,Colts
6/21/14,"Stanford, CA",1st,74.2,Blue Devils
6/21/14,"Stanford, CA",2nd,70.9,Santa Clara Vanguard
6/21/14,"Stanford, CA",3rd,65.95,Blue Knights
6/21/14,"Stanford, CA",4th,63.95,Crossmen
6/21/14,"Stanford, CA",5th,60.5,Pacific Crest
6/21/14,"Stanford, CA",6th,59.25,Mandarins
6/22/14,"Bowling Green, OH",1st,74.2,The Cadets
6/22/14,"Bowling Green, OH",2nd,73.5,Carolina Crown
6/22/14,"Bowling Green, OH",3rd,67.9,Madison Scouts
6/22/14,"Bowling Green, OH",4th,67.8,Boston Crusaders
6/22/14,"Bowling Green, OH",5th,64.2,Troopers
6/22/14,Scaramento CA,1st,76.05,Blue Devils
6/22/14,Scaramento CA,2nd,72.9,Santa Clara Vanguard
6/22/14,Scaramento CA,3rd,66.2,Blue Knights
6/22/14,Scaramento CA,4th,64.15,Crossmen
6/22/14,Scaramento CA,5th,61.3,Pacific Crest
6/22/14,Scaramento CA,6th,59.5,Mandarins
6/24/14,"Merrillville, IN",1st,73.8,Phantom Regiment
6/24/14,"Merrillville, IN",2nd,70.9,Madison Scouts
6/24/14,"Merrillville, IN",3rd,70.6,Boston Crusaders
6/24/14,"Merrillville, IN",4th,67.3,Troopers
6/24/14,"Merrillville, IN",5th,64.4,Colts
6/25/14,"Evansville, IN",1st,74.1,Phantom Regiment
6/25/14,"Evansville, IN",2nd,70.7,Madison Scouts
6/25/14,"Evansville, IN",3rd,68,Blue Stars
6/25/14,"Evansville, IN",4th,66.9,Troopers
6/25/14,"Evansville, IN",5th,62.4,Colts
6/25/14,"Pittsburgh, PA",1st,77.6,The Cadets
6/25/14,"Pittsburgh, PA",2nd,75.5,Bluecoats
6/25/14,"Pittsburgh, PA",3rd,72.9,The Cavaliers
6/25/14,"Pittsburgh, PA",4th,71,Boston Crusaders
6/25/14,"Pittsburgh, PA",5th,64.7,Spirit of Atlanta
6/26/14,"Mesa, AZ",1st,74.2,Santa Clara Vanguard
6/26/14,"Mesa, AZ",2nd,70,Blue Knights
6/26/14,"Mesa, AZ",3rd,66.6,Crossmen
6/26/14,"Mesa, AZ",4th,63.8,The Academy
6/27/14,"Chambersburg, PA",1st,79.8,The Cadets
6/27/14,"Chambersburg, PA",2nd,77.6,Bluecoats
6/27/14,"Chambersburg, PA",3rd,72.7,Boston Crusaders
6/27/14,"Chambersburg, PA",4th,66.9,Spirit of Atlanta
6/27/14,"Muncie, IN",1st,76.7,Carolina Crown
6/27/14,"Muncie, IN",2nd,73.9,Phantom Regiment
6/27/14,"Muncie, IN",3rd,72.7,The Cavaliers
6/27/14,"Muncie, IN",4th,67.5,Blue Stars
6/27/14,"Muncie, IN",5th,65.6,Troopers
6/27/14,"Muncie, IN",6th,60.5,Colts
6/27/14,"Oceanside, CA",1st,74.3,Santa Clara Vanguard
6/27/14,"Oceanside, CA",2nd,69.15,Blue Knights
6/27/14,"Oceanside, CA",3rd,66.4,Crossmen
6/27/14,"Oceanside, CA",4th,63.35,The Academy
6/27/14,"Oceanside, CA",5th,62.85,Pacific Crest
6/27/14,"Oceanside, CA",6th,62.2,Mandarins
6/28/14,"Glendora, CA",1st,79.5,Blue Devils
6/28/14,"Glendora, CA",2nd,76.65,Santa Clara Vanguard
6/28/14,"Glendora, CA",3rd,70.35,Blue Knights
6/28/14,"Glendora, CA",4th,67.35,Crossmen
6/28/14,"Glendora, CA",5th,63.7,Pacific Crest
6/28/14,"Glendora, CA",6th,63.55,The Academy
6/28/14,"Glendora, CA",7th,62.6,Mandarins
6/28/14,"Jackson, NJ",1st,79.2,The Cadets
6/28/14,"Jackson, NJ",2nd,77.7,Bluecoats
6/28/14,"Jackson, NJ",3rd,71.2,Boston Crusaders
6/28/14,"Jackson, NJ",4th,67,Spirit of Atlanta
6/28/14,"Madison, WI",1st,75.65,The Cavaliers
6/28/14,"Madison, WI",2nd,74.9,Phantom Regiment
6/28/14,"Madison, WI",3rd,72.55,Madison Scouts
6/28/14,"Madison, WI",4th,69.2,Blue Stars
6/28/14,"Madison, WI",5th,67.95,Troopers
6/28/14,"Madison, WI",6th,64.1,Colts
6/29/14,"Lawrence, MA",1st,82.2,The Cadets
6/29/14,"Lawrence, MA",2nd,81.8,Carolina Crown
6/29/14,"Lawrence, MA",3rd,80.2,Bluecoats
6/29/14,"Lawrence, MA",4th,72.4,Boston Crusaders
6/29/14,"Lawrence, MA",5th,70.1,Spirit of Atlanta
6/29/14,"Riverside, CA",1st,82,Blue Devils
6/29/14,"Riverside, CA",2nd,79.3,Santa Clara Vanguard
6/29/14,"Riverside, CA",3rd,71.05,Blue Knights
6/29/14,"Riverside, CA",4th,68.35,Crossmen
6/29/14,"Riverside, CA",5th,63.95,Mandarins
6/29/14,"Riverside, CA",6th,63.75,The Academy
6/29/14,"Riverside, CA",7th,62.9,Pacific Crest
6/29/14,"Rochester, MN",1st,78,The Cavaliers
6/29/14,"Rochester, MN",2nd,77.6,Phantom Regiment
6/29/14,"Rochester, MN",3rd,74.5,Madison Scouts
6/29/14,"Rochester, MN",4th,72,Blue Stars
6/29/14,"Rochester, MN",5th,68.5,Troopers
6/29/14,"Rochester, MN",6th,65.2,Colts
6/30/14,"Mankato, MN",1st,75.3,Madison Scouts
6/30/14,"Mankato, MN",2nd,72.3,Blue Stars
6/30/14,"Mankato, MN",3rd,70.6,Troopers
7/1/14,"Overland Park, KS",1st,80.6,The Cavaliers
7/1/14,"Overland Park, KS",2nd,79.7,Phantom Regiment
7/1/14,"Overland Park, KS",3rd,67.5,Colts
7/1/14,"Overland Park, KS",4th,62.6,Jersey Surf
7/1/14,"Santa Clara, CA",1st,80.9,Santa Clara Vanguard
7/1/14,"Santa Clara, CA",2nd,72,Blue Knights
7/1/14,"Santa Clara, CA",3rd,68.4,Crossmen
7/1/14,"Santa Clara, CA",4th,63.5,Mandarins
7/2/14,"Waukee, IA",1st,84.9,Blue Devils
7/2/14,"Waukee, IA",2nd,81,The Cavaliers
7/2/14,"Waukee, IA",3rd,80.2,Phantom Regiment
7/2/14,"Waukee, IA",4th,72.3,Blue Stars
7/2/14,"Waukee, IA",5th,70.4,Troopers
7/2/14,"Waukee, IA",6th,67.8,Colts
7/2/14,"Waukee, IA",7th,63.9,Jersey Surf
7/3/14,"Bristol, RI",1st,81.7,The Cadets
7/3/14,"Bristol, RI",2nd,81.3,Bluecoats
7/3/14,"Bristol, RI",3rd,80.8,Carolina Crown
7/3/14,"Bristol, RI",4th,70.4,Boston Crusaders
7/3/14,"Bristol, RI",5th,69.5,Spirit of Atlanta
7/3/14,"Cedarburg, WI",1st,86.2,Blue Devils
7/3/14,"Cedarburg, WI",2nd,76.7,Madison Scouts
7/3/14,"Cedarburg, WI",3rd,63.9,Jersey Surf
7/3/14,"Cedarburg, WI",1st,57.7,Genesis
7/3/14,"Portland, OR",1st,79.7,Santa Clara Vanguard
7/3/14,"Portland, OR",2nd,74.6,Blue Knights
7/3/14,"Portland, OR",3rd,69.8,Crossmen
7/3/14,"Portland, OR",5th,55.1,Seattle Cascades
7/5/14,"Lynn, MA",1st,83.9,The Cadets
7/5/14,"Lynn, MA",2nd,83.45,Carolina Crown
7/5/14,"Lynn, MA",3rd,83.2,Bluecoats
7/5/14,"Lynn, MA",4th,73.95,Boston Crusaders
7/5/14,"Lynn, MA",5th,72.65,Spirit of Atlanta
7/5/14,"Michigan City, IN",1st,81.65,The Cavaliers
7/5/14,"Michigan City, IN",2nd,80.45,Phantom Regiment
7/5/14,"Michigan City, IN",3rd,71.25,Troopers
7/5/14,"Michigan City, IN",4th,69.25,Colts
7/5/14,"Michigan City, IN",1st,60.8,Genesis
7/5/14,"Renton, WA",1st,81.9,Santa Clara Vanguard
7/5/14,"Renton, WA",2nd,76.1,Blue Knights
7/5/14,"Renton, WA",3rd,71.5,Crossmen
7/5/14,"Renton, WA",5th,57.5,Seattle Cascades
7/5/14,"Sacramento, CA",1st,63.9,Mandarins
7/5/14,"Whitewater, WI",1st,85.1,Blue Devils
7/5/14,"Whitewater, WI",2nd,75.6,Madison Scouts
7/5/14,"Whitewater, WI",3rd,74.55,Blue Stars
7/5/14,"Whitewater, WI",4th,64.35,Jersey Surf
7/6/14,"Chester, PA",1st,84.7,The Cadets
7/6/14,"Chester, PA",2nd,84.1,Carolina Crown
7/6/14,"Chester, PA",3rd,84.05,Bluecoats
7/6/14,"Chester, PA",4th,75.25,Boston Crusaders
7/6/14,"Chester, PA",5th,72.85,Spirit of Atlanta
7/6/14,"Dixon, IL",1st,71.4,Colts
7/6/14,"Dixon, IL",2nd,64.6,Jersey Surf
7/6/14,"Dixon, IL",1st,60.3,Genesis
7/6/14,"Lisle, IL",1st,85.35,Blue Devils
7/6/14,"Lisle, IL",2nd,81.8,The Cavaliers
7/6/14,"Lisle, IL",3rd,79.95,Phantom Regiment
7/6/14,"Lisle, IL",4th,75.3,Madison Scouts
7/6/14,"Lisle, IL",5th,75.15,Blue Stars
7/6/14,"Lisle, IL",6th,71.75,Troopers
7/6/14,"Tri Cities, WA",1st,82.2,Santa Clara Vanguard
7/6/14,"Tri Cities, WA",2nd,78.8,Blue Knights
7/6/14,"Tri Cities, WA",3rd,72.9,Crossmen
7/6/14,"Tri Cities, WA",5th,58,Seattle Cascades
7/8/14,"Boise, ID",1st,83.3,Santa Clara Vanguard
7/8/14,"Boise, ID",2nd,79.7,Blue Knights
7/8/14,"Boise, ID",3rd,75,Crossmen
7/8/14,"Boise, ID",5th,66.1,The Academy
7/8/14,"Boise, ID",6th,61,Seattle Cascades
7/8/14,"Dubuque, IA",1st,82.2,The Cavaliers
7/8/14,"Dubuque, IA",2nd,76.95,Madison Scouts
7/8/14,"Dubuque, IA",3rd,75.3,Blue Stars
7/8/14,"Dubuque, IA",4th,73.4,Troopers
7/8/14,"Dubuque, IA",5th,69.75,Colts
7/8/14,"Dubuque, IA",1st,62.4,Genesis
7/8/14,"Ft. Wayne, IN",1st,86.15,Blue Devils
7/8/14,"Ft. Wayne, IN",2nd,85.15,Bluecoats
7/8/14,"Ft. Wayne, IN",3rd,76.65,Boston Crusaders
7/8/14,"Ft. Wayne, IN",4th,72.5,Spirit of Atlanta
7/8/14,"Ft. Wayne, IN",5th,63.65,Jersey Surf
7/8/14,"Ft. Wayne, IN",1st,60.5,Music City
7/9/14,"Metamora, IL",1st,87.35,Blue Devils
7/9/14,"Metamora, IL",2nd,86.3,The Cadets
7/9/14,"Metamora, IL",3rd,81.85,Phantom Regiment
7/9/14,"Metamora, IL",4th,72.75,Colts
7/9/14,"Metamora, IL",1st,63.9,Music City
7/9/14,"Ogden, UT",1st,84.3,Santa Clara Vanguard
7/9/14,"Ogden, UT",2nd,80.2,Blue Knights
7/9/14,"Ogden, UT",3rd,75.6,Crossmen
7/9/14,"Ogden, UT",5th,69.3,Pacific Crest
7/9/14,"Ogden, UT",6th,68,The Academy
7/9/14,"Ogden, UT",7th,62.8,Seattle Cascades
7/10/14,"Salem, WI",1st,87.05,The Cadets
7/10/14,"Salem, WI",2nd,83.25,Phantom Regiment
7/10/14,"Salem, WI",3rd,74.75,Spirit of Atlanta
7/10/14,"Salem, WI",4th,66.55,Jersey Surf
7/11/14,"Eden Prairie, MN",1st,87.55,Blue Devils
7/11/14,"Eden Prairie, MN",2nd,85.35,Bluecoats
7/11/14,"Eden Prairie, MN",3rd,77.5,Boston Crusaders
7/11/14,"Eden Prairie, MN",4th,65.35,Jersey Surf
7/12/14,"Denver, CO",1st,85.25,Santa Clara Vanguard
7/12/14,"Denver, CO",2nd,81,Blue Knights
7/12/14,"Denver, CO",3rd,78.3,Madison Scouts
7/12/14,"Denver, CO",4th,76.85,Crossmen
7/12/14,"Denver, CO",5th,75,Troopers
7/12/14,"Denver, CO",7th,68.8,Pacific Crest
7/12/14,"Denver, CO",8th,68.35,The Academy
7/12/14,"Denver, CO",9th,67.9,Mandarins
7/12/14,"Denver, CO",10th,64.45,Seattle Cascades
7/12/14,"La Crosse, WI",1st,88.05,The Cadets
7/12/14,"La Crosse, WI",2nd,86.9,Carolina Crown
7/12/14,"La Crosse, WI",3rd,85.85,Bluecoats
7/12/14,"La Crosse, WI",4th,84.6,The Cavaliers
7/12/14,"La Crosse, WI",5th,83.2,Phantom Regiment
7/12/14,"La Crosse, WI",6th,78.8,Boston Crusaders
7/12/14,"La Crosse, WI",7th,78.65,Blue Stars
7/12/14,"La Crosse, WI",8th,74.55,Colts
7/12/14,"La Crosse, WI",9th,74.5,Spirit of Atlanta
7/12/14,"La Crosse, WI",10th,65.15,Jersey Surf
7/12/14,"La Crosse, WI",1st,62.7,Music City
7/13/14,"DeKalb, IL",1st,87.6,Blue Devils
7/13/14,"DeKalb, IL",2nd,86.6,The Cadets
7/13/14,"DeKalb, IL",3rd,85.9,Carolina Crown
7/13/14,"DeKalb, IL",4th,84.1,Bluecoats
7/13/14,"DeKalb, IL",5th,83.45,The Cavaliers
7/13/14,"DeKalb, IL",6th,81.85,Phantom Regiment
7/13/14,"DeKalb, IL",7th,78,Blue Stars
7/13/14,"Muscatine, IA",1st,79.4,Boston Crusaders
7/13/14,"Muscatine, IA",2nd,74.75,Colts
7/13/14,"Muscatine, IA",3rd,73.85,Spirit of Atlanta
7/14/14,"Lebanon, IL",1st,79.35,Boston Crusaders
7/14/14,"Lebanon, IL",2nd,75.5,Colts
7/14/14,"Lebanon, IL",3rd,74,Spirit of Atlanta
7/14/14,"Lebanon, IL",4th,66.6,Jersey Surf
7/14/14,"Lebanon, IL",1st,62.4,Music City
7/14/14,"Omaha, NE",1st,81.6,Blue Knights
7/14/14,"Omaha, NE",2nd,80.65,Madison Scouts
7/14/14,"Omaha, NE",3rd,77.35,Crossmen
7/14/14,"Omaha, NE",5th,69.55,Pacific Crest
7/14/14,"Omaha, NE",6th,69.15,The Academy
7/14/14,"Omaha, NE",7th,64.95,Seattle Cascades
7/14/14,"Warrensburg, MO",1st,88.9,Blue Devils
7/14/14,"Warrensburg, MO",2nd,87.9,The Cadets
7/14/14,"Warrensburg, MO",3rd,86.85,Carolina Crown
7/14/14,"Warrensburg, MO",4th,86.6,Santa Clara Vanguard
7/14/14,"Warrensburg, MO",5th,85.4,Bluecoats
7/14/14,"Warrensburg, MO",6th,84.55,The Cavaliers
7/14/14,"Warrensburg, MO",7th,83.15,Phantom Regiment
7/15/14,"Bentonville, AR",1st,88.3,Carolina Crown
7/15/14,"Bentonville, AR",2nd,80.35,Blue Stars
7/15/14,"Bentonville, AR",3rd,78.3,Crossmen
7/15/14,"Bentonville, AR",4th,77.4,Colts
7/15/14,"Bentonville, AR",1st,66.9,Genesis
7/15/14,"Bentonville, AR",5th,65.15,Seattle Cascades
7/15/14,"Bentonville, AR",2nd,63.7,Music City
7/15/14,"Wichita, KS",1st,89.8,Blue Devils
7/15/14,"Wichita, KS",2nd,82.4,Blue Knights
7/15/14,"Wichita, KS",3rd,80.85,Madison Scouts
7/15/14,"Wichita, KS",4th,76.3,Troopers
7/15/14,"Wichita, KS",6th,70.3,The Academy
7/15/14,"Wichita, KS",7th,69.05,Mandarins
7/16/14,"Broken Arrow, OK",1st,89.15,The Cadets
7/16/14,"Broken Arrow, OK",2nd,84.1,Phantom Regiment
7/16/14,"Broken Arrow, OK",3rd,83.2,Blue Knights
7/16/14,"Broken Arrow, OK",4th,77.3,Troopers
7/16/14,"Broken Arrow, OK",5th,76.8,Spirit of Atlanta
7/16/14,"Broken Arrow, OK",6th,71.4,Pacific Crest
7/16/14,"Broken Arrow, OK",7th,70.8,The Academy
7/16/14,"Broken Arrow, OK",8th,69.85,Mandarins
7/16/14,"Broken Arrow, OK",9th,67.55,Jersey Surf
7/16/14,"Broken Arrow, OK",10th,65.6,Seattle Cascades
7/17/14,"Denton, TX",1st,88.35,Carolina Crown
7/17/14,"Denton, TX",2nd,87.85,Bluecoats
7/17/14,"Denton, TX",3rd,87.35,Santa Clara Vanguard
7/17/14,"Denton, TX",4th,85.45,The Cavaliers
7/17/14,"Denton, TX",5th,74.1,The Academy
7/17/14,"Denton, TX",7th,73.9,Pacific Crest
7/17/14,"Denton, TX",8th,72.25,Mandarins
7/17/14,"Denton, TX",9th,69,Jersey Surf
7/17/14,"Denton, TX",10th,67.5,Seattle Cascades
7/18/14,"Houston, TX",1st,91.3,Blue Devils
7/18/14,"Houston, TX",2nd,89.4,Bluecoats
7/18/14,"Houston, TX",3rd,88.6,Carolina Crown
7/18/14,"Houston, TX",4th,88.15,Santa Clara Vanguard
7/18/14,"Houston, TX",5th,86.95,The Cavaliers
7/18/14,"Houston, TX",6th,85.05,Phantom Regiment
7/18/14,"Houston, TX",7th,83.75,Blue Knights
7/19/14,"San Antonio, TX",1st,91.65,Blue Devils
7/19/14,"San Antonio, TX",2nd,90.975,The Cadets
7/19/14,"San Antonio, TX",3rd,89.85,Bluecoats
7/19/14,"San Antonio, TX",4th,89,Santa Clara Vanguard
7/19/14,"San Antonio, TX",5th,88.7,Carolina Crown
7/19/14,"San Antonio, TX",6th,86.925,The Cavaliers
7/19/14,"San Antonio, TX",7th,84.725,Phantom Regiment
7/19/14,"San Antonio, TX",8th,84.1,Blue Knights
7/19/14,"San Antonio, TX",9th,82.425,Boston Crusaders
7/19/14,"San Antonio, TX",10th,81.725,Blue Stars
7/19/14,"San Antonio, TX",11th,81.425,Madison Scouts
7/19/14,"San Antonio, TX",12th,80.25,Crossmen
7/19/14,"San Antonio, TX",13th,77.9,Troopers
7/19/14,"San Antonio, TX",14th,76.55,Spirit of Atlanta
7/19/14,"San Antonio, TX",15th,76.1,Colts
7/19/14,"San Antonio, TX",17th,74.775,The Academy
7/19/14,"San Antonio, TX",18th,73.05,Pacific Crest
7/19/14,"San Antonio, TX",19th,72.375,Mandarins
7/19/14,"San Antonio, TX",20th,69.65,Jersey Surf
7/19/14,"San Antonio, TX",21st,67.2,Seattle Cascades
7/19/14,"San Antonio, TX",1st,65.5,Genesis
7/21/14,"Dallas, TX",1st,92.45,The Cadets
7/21/14,"Dallas, TX",2nd,90.9,Bluecoats
7/21/14,"Dallas, TX",3rd,90.5,Carolina Crown
7/21/14,"Dallas, TX",4th,86,Blue Knights
7/21/14,"Dallas, TX",5th,83.45,Madison Scouts
7/21/14,"Dallas, TX",6th,81.75,Crossmen
7/21/14,"Dallas, TX",7th,75.3,The Academy
7/21/14,"Dallas, TX",8th,70.7,Jersey Surf
7/21/14,"Dallas, TX",9th,67.9,Seattle Cascades
7/21/14,"Dallas, TX",1st,67.1,Genesis
7/21/14,"Lafayette, LA",1st,91.75,Blue Devils
7/21/14,"Lafayette, LA",2nd,87.5,The Cavaliers
7/21/14,"Lafayette, LA",3rd,85.15,Phantom Regiment
7/21/14,"Lafayette, LA",4th,82.2,Blue Stars
7/21/14,"Lafayette, LA",5th,76.75,Colts
7/21/14,"Lafayette, LA",6th,75.7,Spirit of Atlanta
7/21/14,"Lafayette, LA",7th,75.25,Pacific Crest
7/21/14,"Lafayette, LA",8th,73.25,Mandarins
7/22/14,"Mustang, OK",1st,92.75,The Cadets
7/22/14,"Mustang, OK",2nd,90.75,Bluecoats
7/22/14,"Mustang, OK",3rd,90.05,Carolina Crown
7/22/14,"Mustang, OK",4th,85.9,Blue Knights
7/22/14,"Mustang, OK",5th,81.25,Crossmen
7/22/14,"Mustang, OK",7th,74.85,The Academy
7/22/14,"Mustang, OK",8th,68.45,Seattle Cascades
7/22/14,"Ocean Springs, MS",1st,90.6,Santa Clara Vanguard
7/22/14,"Ocean Springs, MS",2nd,88.15,The Cavaliers
7/22/14,"Ocean Springs, MS",3rd,83.4,Blue Stars
7/22/14,"Ocean Springs, MS",4th,77.3,Spirit of Atlanta
7/22/14,"Ocean Springs, MS",5th,75.95,Pacific Crest
7/22/14,"Ocean Springs, MS",6th,74.25,Mandarins
7/23/14,"Hattiesburg, MS",1st,94.25,Blue Devils
7/23/14,"Hattiesburg, MS",2nd,85.3,Madison Scouts
7/23/14,"Hattiesburg, MS",3rd,80.6,Troopers
7/23/14,"Hattiesburg, MS",4th,79.25,Colts
7/23/14,"Hattiesburg, MS",5th,75.8,Pacific Crest
7/23/14,"Hattiesburg, MS",6th,72.45,Jersey Surf
7/23/14,"Little Rock, AR",1st,92.5,The Cadets
7/23/14,"Little Rock, AR",2nd,90.55,Bluecoats
7/23/14,"Little Rock, AR",3rd,89.4,Carolina Crown
